Numero do Artigo,Texto do Artigo
"11","Art. 11 Com exceção dos casos previstos em lei, os direitos da personalidade são intransmissíveis e irrenunciáveis, não podendo o seu exercício sofrer limitação voluntária."
"12","Art. 12 Pode-se exigir que cesse a ameaça, ou a lesão, a direito da personalidade, e reclamar perdas e danos, sem prejuízo de outras sanções previstas em lei.
Parágrafo único. Em se tratando de morto, terá legitimação para requerer a medida prevista neste artigo o cônjuge sobrevivente, ou qualquer parente em linha reta, ou colateral até o quarto grau."
"13","Art. 13 Salvo por exigência médica, é defeso o ato de disposição do próprio corpo, quando importar diminuição permanente da integridade física, ou contrariar os bons costumes.
Parágrafo único. O ato previsto neste artigo será admitido para fins de transplante, na forma estabelecida em lei especial."
"14","Art. 14 É válida, com objetivo científico, ou altruístico, a disposição gratuita do próprio corpo, no todo ou em parte, para depois da morte.
Parágrafo único. O ato de disposição pode ser livremente revogado a qualquer tempo."
"15","Art. 15 Ninguém pode ser constrangido a submeter-se, com risco de vida, a tratamento médico ou a intervenção cirúrgica."
"16","Art. 16 Toda pessoa tem direito ao nome, nele compreendidos o prenome e o sobrenome."
"17","Art. 17 O nome da pessoa não pode ser empregado por outrem em publicações ou representações que a exponham ao desprezo público, ainda quando não haja intenção difamatória."
"18","Art. 18 Sem autorização, não se pode usar o nome alheio em propaganda comercial."
"19","Art. 19 O pseudônimo adotado para atividades lícitas goza da proteção que se dá ao nome."
"20","Art. 20 Salvo se autorizadas, ou se necessárias à administração da justiça ou à manutenção da ordem pública, a divulgação de escritos, a transmissão da palavra, ou a publicação, a exposição ou a utilização da imagem de uma pessoa poderão ser proibidas, a seu requerimento e sem prejuízo da indenização que couber, se lhe atingirem a honra, a boa fama ou a respeitabilidade, ou se se destinarem a fins comerciais.
Parágrafo único. Em se tratando de morto ou de ausente, são partes legítimas para requerer essa proteção o cônjuge, os ascendentes ou os descendentes."
"21","Art. 21 A vida privada da pessoa natural é inviolável, e o juiz, a requerimento do interessado, adotará as providências necessárias para impedir ou fazer cessar ato contrário a esta norma."
"22","Art. 22 Desaparecendo uma pessoa do seu domicílio sem dela haver notícia, se não houver deixado representante ou procurador a quem caiba administrar-lhe os bens, o juiz, a requerimento de qualquer interessado ou do Ministério Público, declarará a ausência, e nomear-lhe-á curador."
"23","Art. 23 Também se declarará a ausência, e se nomeará curador, quando o ausente deixar mandatário que não queira ou não possa exercer ou continuar o mandato, ou se os seus poderes forem insuficientes."
"24","Art. 24 O juiz, que nomear o curador, fixar-lhe-á os poderes e obrigações, conforme as circunstâncias, observando, no que for aplicável, o disposto a respeito dos tutores e curadores."
"25","Art. 25 O cônjuge do ausente, sempre que não esteja separado judicialmente, ou de fato por mais de dois anos antes da declaração da ausência, será o seu legítimo curador.
§ 1 o Em falta do cônjuge, a curadoria dos bens do ausente incumbe aos pais ou aos descendentes, nesta ordem, não havendo impedimento que os iniba de exercer o cargo.
§ 2 o Entre os descendentes, os mais próximos precedem os mais remotos.
§ 3 o Na falta das pessoas mencionadas, compete ao juiz a escolha do curador."
"26","Art. 26 Decorrido um ano da arrecadação dos bens do ausente, ou, se ele deixou representante ou procurador, em se passando três anos, poderão os interessados requerer que se declare a ausência e se abra provisoriamente a sucessão."
"27","Art. 27 Para o efeito previsto no artigo anterior, somente se consideram interessados:
I – o cônjuge não separado judicialmente;
II – os herdeiros presumidos, legítimos ou testamentários;
III – os que tiverem sobre os bens do ausente direito dependente de sua morte;
IV – os credores de obrigações vencidas e não pagas."
"28","Art. 28 A sentença que determinar a abertura da sucessão provisória só produzirá efeito cento e oitenta dias depois de publicada pela imprensa; mas, logo que passe em julgado, proceder-se-á à abertura do testamento, se houver, e ao inventário e partilha dos bens, como se o ausente fosse falecido.
§ 1 o Findo o prazo a que se refere o art. 26, e não havendo interessados na sucessão provisória, cumpre ao Ministério Público requerê-la ao juízo competente.
§ 2 o Não comparecendo herdeiro ou interessado para requerer o inventário até trinta dias depois de passar em julgado a sentença que mandar abrir a sucessão provisória, proceder-se-á à arrecadação dos bens do ausente pela forma estabelecida nos arts. 1.819 a 1.823."
"29","Art. 29 Antes da partilha, o juiz, quando julgar conveniente, ordenará a conversão dos bens móveis, sujeitos a deterioração ou a extravio, em imóveis ou em títulos garantidos pela União."
"30","Art. 30 Os herdeiros, para se imitirem na posse dos bens do ausente, darão garantias da restituição deles, mediante penhores ou hipotecas equivalentes aos quinhões respectivos.
§ 1 o Aquele que tiver direito à posse provisória, mas não puder prestar a garantia exigida neste artigo, será excluído, mantendo-se os bens que lhe deviam caber sob a administração do curador, ou de outro herdeiro designado pelo juiz, e que preste essa garantia.
§ 2 o Os ascendentes, os descendentes e o cônjuge, uma vez provada a sua qualidade de herdeiros, poderão, independentemente de garantia, entrar na posse dos bens do ausente."
"31","Art. 31 Os imóveis do ausente só se poderão alienar, não sendo por desapropriação, ou hipotecar, quando o ordene o juiz, para lhes evitar a ruína."
"32","Art. 32 Empossados nos bens, os sucessores provisórios ficarão representando ativa e passivamente o ausente, de modo que contra eles correrão as ações pendentes e as que de futuro àquele forem movidas."
"33","Art. 33 O descendente, ascendente ou cônjuge que for sucessor provisório do ausente, fará seus todos os frutos e rendimentos dos bens que a este couberem; os outros sucessores, porém, deverão capitalizar metade desses frutos e rendimentos, segundo o disposto no art. 29, de acordo com o representante do Ministério Público, e prestar anualmente contas ao juiz competente.
Parágrafo único. Se o ausente aparecer, e ficar provado que a ausência foi voluntária e injustificada, perderá ele, em favor do sucessor, sua parte nos frutos e rendimentos."
"34","Art. 34 O excluído, segundo o art. 30, da posse provisória poderá, justificando falta de meios, requerer lhe seja entregue metade dos rendimentos do quinhão que lhe tocaria."
"35","Art. 35 Se durante a posse provisória se provar a época exata do falecimento do ausente, considerar-se-á, nessa data, aberta a sucessão em favor dos herdeiros, que o eram àquele tempo."
"36","Art. 36 Se o ausente aparecer, ou se lhe provar a existência, depois de estabelecida a posse provisória, cessarão para logo as vantagens dos sucessores nela imitidos, ficando, todavia, obrigados a tomar as medidas assecuratórias precisas, até a entrega dos bens a seu dono."
"37","Art. 37 Dez anos depois de passada em julgado a sentença que concede a abertura da sucessão provisória, poderão os interessados requerer a sucessão definitiva e o levantamento das cauções prestadas."
"38","Art. 38 Pode-se requerer a sucessão definitiva, também, provando-se que o ausente conta oitenta anos de idade, e que de cinco datam as últimas notícias dele."
"39","Art. 39 Regressando o ausente nos dez anos seguintes à abertura da sucessão definitiva, ou algum de seus descendentes ou ascendentes, aquele ou estes haverão só os bens existentes no estado em que se acharem, os sub-rogados em seu lugar, ou o preço que os herdeiros e demais interessados houverem recebido pelos bens alienados depois daquele tempo.
Parágrafo único. Se, nos dez anos a que se refere este artigo, o ausente não regressar, e nenhum interessado promover a sucessão definitiva, os bens arrecadados passarão ao domínio do Município ou do Distrito Federal, se localizados nas respectivas circunscrições, incorporando-se ao domínio da União, quando situados em território federal."
"40","Art. 40 As pessoas jurídicas são de direito público, interno ou externo, e de direito privado."
"41","Art. 41 São pessoas jurídicas de direito público interno:
I – a União;
II – os Estados, o Distrito Federal e os Territórios;
III – os Municípios;
IV – as autarquias, inclusive as associações públicas;
V – as demais entidades de caráter público criadas por lei.
Parágrafo único. Salvo disposição em contrário, as pessoas jurídicas de direito público, a que se tenha dado estrutura de direito privado, regem-se, no que couber, quanto ao seu funcionamento, pelas normas deste Código."
"42","Art. 42 São pessoas jurídicas de direito público externo os Estados estrangeiros e todas as pessoas que forem regidas pelo direito internacional público."
"43","Art. 43 As pessoas jurídicas de direito público interno são civilmente responsáveis por atos dos seus agentes que nessa qualidade causem danos a terceiros, ressalvado direito regressivo contra os causadores do dano, se houver, por parte destes, culpa ou dolo."
"44","Art. 44 São pessoas jurídicas de direito privado:
I – as associações;
II – as sociedades;
III – as fundações.
IV – as organizações religiosas;
V – os partidos políticos.
VI –
VII – os empreendimentos de economia solidária.
§ 1º São livres a criação, a organização, a estruturação interna e o funcionamento das organizações religiosas, sendo vedado ao poder público negar-lhes reconhecimento ou registro dos atos constitutivos e necessários ao seu funcionamento.
§ 2º As disposições concernentes às associações aplicam-se subsidiariamente aos empreendimentos de economia solidária e às sociedades que são objeto do Livro II da Parte Especial deste Código.
§ 3º Os partidos políticos serão organizados e funcionarão conforme o disposto em lei específica."
"45","Art. 45 Começa a existência legal das pessoas jurídicas de direito privado com a inscrição do ato constitutivo no respectivo registro, precedida, quando necessário, de autorização ou aprovação do Poder Executivo, averbando-se no registro todas as alterações por que passar o ato constitutivo.
Parágrafo único. Decai em três anos o direito de anular a constituição das pessoas jurídicas de direito privado, por defeito do ato respectivo, contado o prazo da publicação de sua inscrição no registro."
"46","Art. 46 O registro declarará:
I – a denominação, os fins, a sede, o tempo de duração e o fundo social, quando houver;
II – o nome e a individualização dos fundadores ou instituidores, e dos diretores;
III – o modo por que se administra e representa, ativa e passivamente, judicial e extrajudicialmente;
IV – se o ato constitutivo é reformável no tocante à administração, e de que modo;
V – se os membros respondem, ou não, subsidiariamente, pelas obrigações sociais;
VI – as condições de extinção da pessoa jurídica e o destino do seu patrimônio, nesse caso."
"47","Art. 47 Obrigam a pessoa jurídica os atos dos administradores, exercidos nos limites de seus poderes definidos no ato constitutivo."
"48","Art. 48 Se a pessoa jurídica tiver administração coletiva, as decisões se tomarão pela maioria de votos dos presentes, salvo se o ato constitutivo dispuser de modo diverso.
Parágrafo único. Decai em três anos o direito de anular as decisões a que se refere este artigo, quando violarem a lei ou estatuto, ou forem eivadas de erro, dolo, simulação ou fraude."
"48-A","Art. 48-A As pessoas jurídicas de direito privado, sem prejuízo do previsto em legislação especial e em seus atos constitutivos, poderão realizar suas assembleias gerais por meio eletrônico, inclusive para os fins do disposto no art. 59 deste Código, respeitados os direitos previstos de participação e de manifestação."
"49","Art. 49 Se a administração da pessoa jurídica vier a faltar, o juiz, a requerimento de qualquer interessado, nomear-lhe-á administrador provisório."
"49-A","Art. 49-A A pessoa jurídica não se confunde com os seus sócios, associados, instituidores ou administradores.
Parágrafo único. A autonomia patrimonial das pessoas jurídicas é um instrumento lícito de alocação e segregação de riscos, estabelecido pela lei com a finalidade de estimular empreendimentos, para a geração de empregos, tributo, renda e inovação em benefício de todos."
"50","Art. 50 Em caso de abuso da personalidade jurídica, caracterizado pelo desvio de finalidade ou pela confusão patrimonial, pode o juiz, a requerimento da parte, ou do Ministério Público quando lhe couber intervir no processo, desconsiderá-la para que os efeitos de certas e determinadas relações de obrigações sejam estendidos aos bens particulares de administradores ou de sócios da pessoa jurídica beneficiados direta ou indiretamente pelo abuso.
§ 1º Para os fins do disposto neste artigo, desvio de finalidade é a utilização da pessoa jurídica com o propósito de lesar credores e para a prática de atos ilícitos de qualquer natureza.
§ 2º Entende-se por confusão patrimonial a ausência de separação de fato entre os patrimônios, caracterizada por:
I – cumprimento repetitivo pela sociedade de obrigações do sócio ou do administrador ou vice-versa;
II – transferência de ativos ou de passivos sem efetivas contraprestações, exceto os de valor proporcionalmente insignificante; e
III – outros atos de descumprimento da autonomia patrimonial.
§ 3º O disposto no caput e nos §
§ 1º e 2º deste artigo também se aplica à extensão das obrigações de sócios ou de administradores à pessoa jurídica.
§ 4º A mera existência de grupo econômico sem a presença dos requisitos de que trata o caput deste artigo não autoriza a desconsideração da personalidade da pessoa jurídica.
§ 5º Não constitui desvio de finalidade a mera expansão ou a alteração da finalidade original da atividade econômica específica da pessoa jurídica."
"51","Art. 51 Nos casos de dissolução da pessoa jurídica ou cassada a autorização para seu funcionamento, ela subsistirá para os fins de liquidação, até que esta se conclua.
§ 1º Far-se-á, no registro onde a pessoa jurídica estiver inscrita, a averbação de sua dissolução.
§ 2º As disposições para a liquidação das sociedades aplicam-se, no que couber, às demais pessoas jurídicas de direito privado.
§ 3º Encerrada a liquidação, promover-se-á o cancelamento da inscrição da pessoa jurídica."
"52","Art. 52 Aplica-se às pessoas jurídicas, no que couber, a proteção dos direitos da personalidade."
"53","Art. 53 Constituem-se as associações pela união de pessoas que se organizem para fins não econômicos.
Parágrafo único. Não há, entre os associados, direitos e obrigações recíprocos."
"54","Art. 54 Sob pena de nulidade, o estatuto das associações conterá:
I – a denominação, os fins e a sede da associação;
II – os requisitos para a admissão, demissão e exclusão dos associados;
III – os direitos e deveres dos associados;
IV – as fontes de recursos para sua manutenção;
V – o modo de constituição e de funcionamento dos órgãos deliberativos;
VI – as condições para a alteração das disposições estatutárias e para a dissolução.
VII – a forma de gestão administrativa e de aprovação das respectivas contas."
"55","Art. 55 Os associados devem ter iguais direitos, mas o estatuto poderá instituir categorias com vantagens especiais."
"56","Art. 56 A qualidade de associado é intransmissível, se o estatuto não dispuser o contrário.
Parágrafo único. Se o associado for titular de quota ou fração ideal do patrimônio da associação, a transferência daquela não importará, de per si , na atribuição da qualidade de associado ao adquirente ou ao herdeiro, salvo disposição diversa do estatuto."
"57","Art. 57 A exclusão do associado só é admissível havendo justa causa, assim reconhecida em procedimento que assegure direito de defesa e de recurso, nos termos previstos no estatuto.
Parágrafo único."
"58","Art. 58 Nenhum associado poderá ser impedido de exercer direito ou função que lhe tenha sido legitimamente conferido, a não ser nos casos e pela forma previstos na lei ou no estatuto."
"59","Art. 59 Compete privativamente à assembléia geral:
I – destituir os administradores;
II – alterar o estatuto.
Parágrafo único. Para as deliberações a que se referem os incisos I e II deste artigo é exigido deliberação da assembléia especialmente convocada para esse fim, cujo quorum será o estabelecido no estatuto, bem como os critérios de eleição dos administradores."
"60","Art. 60 A convocação dos órgãos deliberativos far-se-á na forma do estatuto, garantido a 1/5 dos associados o direito de promovê-la."
"61","Art. 61 Dissolvida a associação, o remanescente do seu patrimônio líquido, depois de deduzidas, se for o caso, as quotas ou frações ideais referidas no
parágrafo único do art. 56, será destinado à entidade de fins não econômicos designada no estatuto, ou, omisso este, por deliberação dos associados, à instituição municipal, estadual ou federal, de fins idênticos ou semelhantes.
§ 1 o Por cláusula do estatuto ou, no seu silêncio, por deliberação dos associados, podem estes, antes da destinação do remanescente referida neste artigo, receber em restituição, atualizado o respectivo valor, as contribuições que tiverem prestado ao patrimônio da associação.
§ 2 o Não existindo no Município, no Estado, no Distrito Federal ou no Território, em que a associação tiver sede, instituição nas condições indicadas neste artigo, o que remanescer do seu patrimônio se devolverá à Fazenda do Estado, do Distrito Federal ou da União."
"62","Art. 62 Para criar uma fundação, o seu instituidor fará, por escritura pública ou testamento, dotação especial de bens livres, especificando o fim a que se destina, e declarando, se quiser, a maneira de administrá-la.
Parágrafo único. A fundação somente poderá constituir-se para fins de:
I – assistência social;
II – cultura, defesa e conservação do patrimônio histórico e artístico;
III – educação;
IV – saúde;
V – segurança alimentar e nutricional;
VI – defesa, preservação e conservação do meio ambiente e promoção do desenvolvimento sustentável;
VII – pesquisa científica, desenvolvimento de tecnologias alternativas, modernização de sistemas de gestão, produção e divulgação de informações e conhecimentos técnicos e científicos;
VIII – promoção da ética, da cidadania, da democracia e dos direitos humanos;
IX – atividades religiosas; e
X –."
"63","Art. 63 Quando insuficientes para constituir a fundação, os bens a ela destinados serão, se de outro modo não dispuser o instituidor, incorporados em outra fundação que se proponha a fim igual ou semelhante."
"64","Art. 64 Constituída a fundação por negócio jurídico entre vivos, o instituidor é obrigado a transferir-lhe a propriedade, ou outro direito real, sobre os bens dotados, e, se não o fizer, serão registrados, em nome dela, por mandado judicial."
"65","Art. 65 Aqueles a quem o instituidor cometer a aplicação do patrimônio, em tendo ciência do encargo, formularão logo, de acordo com as suas bases, o estatuto da fundação projetada, submetendo-o, em seguida, à aprovação da autoridade competente, com recurso ao juiz.
Parágrafo único. Se o estatuto não for elaborado no prazo assinado pelo instituidor, ou, não havendo prazo, em cento e oitenta dias, a incumbência caberá ao Ministério Público."
"66","Art. 66 Velará pelas fundações o Ministério Público do Estado onde situadas.
§ 1 º Se funcionarem no Distrito Federal ou em Território, caberá o encargo ao Ministério Público do Distrito Federal e Territórios.
§ 2º Se estenderem a atividade por mais de um Estado, caberá o encargo, em cada um deles, ao respectivo Ministério Público."
"67","Art. 67 Para que se possa alterar o estatuto da fundação é mister que a reforma:
I – seja deliberada por dois terços dos competentes para gerir e representar a fundação;
II – não contrarie ou desvirtue o fim desta;
III – seja aprovada pelo órgão do Ministério Público no prazo máximo de 45 dias, findo o qual ou no caso de o Ministério Público a denegar, poderá o juiz supri-la, a requerimento do interessado."
"68","Art. 68 Quando a alteração não houver sido aprovada por votação unânime, os administradores da fundação, ao submeterem o estatuto ao órgão do Ministério Público, requererão que se dê ciência à minoria vencida para impugná-la, se quiser, em dez dias."
"69","Art. 69 Tornando-se ilícita, impossível ou inútil a finalidade a que visa a fundação, ou vencido o prazo de sua existência, o órgão do Ministério Público, ou qualquer interessado, lhe promoverá a extinção, incorporando-se o seu patrimônio, salvo disposição em contrário no ato constitutivo, ou no estatuto, em outra fundação, designada pelo juiz, que se proponha a fim igual ou semelhante."
"70","Art. 70 O domicílio da pessoa natural é o lugar onde ela estabelece a sua residência com ânimo definitivo."
"71","Art. 71 Se, porém, a pessoa natural tiver diversas residências, onde, alternadamente, viva, considerar-se-á domicílio seu qualquer delas."
"72","Art. 72 É também domicílio da pessoa natural, quanto às relações concernentes à profissão, o lugar onde esta é exercida.
Parágrafo único. Se a pessoa exercitar profissão em lugares diversos, cada um deles constituirá domicílio para as relações que lhe corresponderem."
"73","Art. 73 Ter-se-á por domicílio da pessoa natural, que não tenha residência habitual, o lugar onde for encontrada."
"74","Art. 74 Muda-se o domicílio, transferindo a residência, com a intenção manifesta de o mudar.
Parágrafo único. A prova da intenção resultará do que declarar a pessoa às municipalidades dos lugares, que deixa, e para onde vai, ou, se tais declarações não fizer, da própria mudança, com as circunstâncias que a acompanharem."
"75","Art. 75 Quanto às pessoas jurídicas, o domicílio é:
I – da União, o Distrito Federal;
II – dos Estados e Territórios, as respectivas capitais;
III – do Município, o lugar onde funcione a administração municipal;
IV – das demais pessoas jurídicas, o lugar onde funcionarem as respectivas diretorias e administrações, ou onde elegerem domicílio especial no seu estatuto ou atos constitutivos.
§ 1 o Tendo a pessoa jurídica diversos estabelecimentos em lugares diferentes, cada um deles será considerado domicílio para os atos nele praticados.
§ 2 o Se a administração, ou diretoria, tiver a sede no estrangeiro, haver-se-á por domicílio da pessoa jurídica, no tocante às obrigações contraídas por cada uma das suas agências, o lugar do estabelecimento, sito no Brasil, a que ela corresponder."
"76","Art. 76 Têm domicílio necessário o incapaz, o servidor público, o militar, o marítimo e o preso.
Parágrafo único. O domicílio do incapaz é o do seu representante ou assistente; o do servidor público, o lugar em que exercer permanentemente suas funções; o do militar, onde servir, e, sendo da Marinha ou da Aeronáutica, a sede do comando a que se encontrar imediatamente subordinado; o do marítimo, onde o navio estiver matriculado; e o do preso, o lugar em que cumprir a sentença."
"77","Art. 77 O agente diplomático do Brasil, que, citado no estrangeiro, alegar extraterritorialidade sem designar onde tem, no país, o seu domicílio, poderá ser demandado no Distrito Federal ou no último ponto do território brasileiro onde o teve."
"78","Art. 78 Nos contratos escritos, poderão os contratantes especificar domicílio onde se exercitem e cumpram os direitos e obrigações deles resultantes."
"79","Art. 79 São bens imóveis o solo e tudo quanto se lhe incorporar natural ou artificialmente."
"80","Art. 80 Consideram-se imóveis para os efeitos legais:
I – os direitos reais sobre imóveis e as ações que os asseguram;
II – o direito à sucessão aberta."
"81","Art. 81 Não perdem o caráter de imóveis:
I – as edificações que, separadas do solo, mas conservando a sua unidade, forem removidas para outro local;
II – os materiais provisoriamente separados de um prédio, para nele se reempregarem."
"82","Art. 82 São móveis os bens suscetíveis de movimento próprio, ou de remoção por força alheia, sem alteração da substância ou da destinação econômico-social."
"83","Art. 83 Consideram-se móveis para os efeitos legais:
I – as energias que tenham valor econômico;
II – os direitos reais sobre objetos móveis e as ações correspondentes;
III – os direitos pessoais de caráter patrimonial e respectivas ações."
"84","Art. 84 Os materiais destinados a alguma construção, enquanto não forem empregados, conservam sua qualidade de móveis; readquirem essa qualidade os provenientes da demolição de algum prédio."
"85","Art. 85 São fungíveis os móveis que podem substituir-se por outros da mesma espécie, qualidade e quantidade."
"86","Art. 86 São consumíveis os bens móveis cujo uso importa destruição imediata da própria substância, sendo também considerados tais os destinados à alienação."
"87","Art. 87 Bens divisíveis são os que se podem fracionar sem alteração na sua substância, diminuição considerável de valor, ou prejuízo do uso a que se destinam."
"88","Art. 88 Os bens naturalmente divisíveis podem tornar-se indivisíveis por determinação da lei ou por vontade das partes."
"89","Art. 89 São singulares os bens que, embora reunidos, se consideram de per si , independentemente dos demais."
"90","Art. 90 Constitui universalidade de fato a pluralidade de bens singulares que, pertinentes à mesma pessoa, tenham destinação unitária.
Parágrafo único. Os bens que formam essa universalidade podem ser objeto de relações jurídicas próprias."
"91","Art. 91 Constitui universalidade de direito o complexo de relações jurídicas, de uma pessoa, dotadas de valor econômico."
"92","Art. 92 Principal é o bem que existe sobre si, abstrata ou concretamente; acessório, aquele cuja existência supõe a do principal."
"93","Art. 93 São pertenças os bens que, não constituindo partes integrantes, se destinam, de modo duradouro, ao uso, ao serviço ou ao aformoseamento de outro."
"94","Art. 94 Os negócios jurídicos que dizem respeito ao bem principal não abrangem as pertenças, salvo se o contrário resultar da lei, da manifestação de vontade, ou das circunstâncias do caso."
"95","Art. 95 Apesar de ainda não separados do bem principal, os frutos e produtos podem ser objeto de negócio jurídico."
"96","Art. 96 As benfeitorias podem ser voluptuárias, úteis ou necessárias.
§ 1 o São voluptuárias as de mero deleite ou recreio, que não aumentam o uso habitual do bem, ainda que o tornem mais agradável ou sejam de elevado valor.
§ 2 o São úteis as que aumentam ou facilitam o uso do bem.
§ 3 o São necessárias as que têm por fim conservar o bem ou evitar que se deteriore."
"97","Art. 97 Não se consideram benfeitorias os melhoramentos ou acréscimos sobrevindos ao bem sem a intervenção do proprietário, possuidor ou detentor."
"98","Art. 98 São públicos os bens do domínio nacional pertencentes às pessoas jurídicas de direito público interno; todos os outros são particulares, seja qual for a pessoa a que pertencerem."
"99","Art. 99 São bens públicos:
I – os de uso comum do povo, tais como rios, mares, estradas, ruas e praças;
II – os de uso especial, tais como edifícios ou terrenos destinados a serviço ou estabelecimento da administração federal, estadual, territorial ou municipal, inclusive os de suas autarquias;
III – os dominicais, que constituem o patrimônio das pessoas jurídicas de direito público, como objeto de direito pessoal, ou real, de cada uma dessas entidades.
Parágrafo único. Não dispondo a lei em contrário, consideram-se dominicais os bens pertencentes às pessoas jurídicas de direito público a que se tenha dado estrutura de direito privado."
"100","Art. 100 Os bens públicos de uso comum do povo e os de uso especial são inalienáveis, enquanto conservarem a sua qualificação, na forma que a lei determinar."
"101","Art. 101 Os bens públicos dominicais podem ser alienados, observadas as exigências da lei."
"102","Art. 102 Os bens públicos não estão sujeitos a usucapião."
"103","Art. 103 O uso comum dos bens públicos pode ser gratuito ou retribuído, conforme for estabelecido legalmente pela entidade a cuja administração pertencerem."
"104","Art. 104 A validade do negócio jurídico requer:
I – agente capaz;
II – objeto lícito, possível, determinado ou determinável;
III – forma prescrita ou não defesa em lei."
"105","Art. 105 A incapacidade relativa de uma das partes não pode ser invocada pela outra em benefício próprio, nem aproveita aos co-interessados capazes, salvo se, neste caso, for indivisível o objeto do direito ou da obrigação comum."
"106","Art. 106 A impossibilidade inicial do objeto não invalida o negócio jurídico se for relativa, ou se cessar antes de realizada a condição a que ele estiver subordinado."
"107","Art. 107 A validade da declaração de vontade não dependerá de forma especial, senão quando a lei expressamente a exigir."
"108","Art. 108 Não dispondo a lei em contrário, a escritura pública é essencial à validade dos negócios jurídicos que visem à constituição, transferência, modificação ou renúncia de direitos reais sobre imóveis de valor superior a trinta vezes o maior salário mínimo vigente no País."
"109","Art. 109 No negócio jurídico celebrado com a cláusula de não valer sem instrumento público, este é da substância do ato."
"110","Art. 110 A manifestação de vontade subsiste ainda que o seu autor haja feito a reserva mental de não querer o que manifestou, salvo se dela o destinatário tinha conhecimento."
"111","Art. 111 O silêncio importa anuência, quando as circunstâncias ou os usos o autorizarem, e não for necessária a declaração de vontade expressa."
"112","Art. 112 Nas declarações de vontade se atenderá mais à intenção nelas consubstanciada do que ao sentido literal da linguagem."
"113","Art. 113 Os negócios jurídicos devem ser interpretados conforme a boa-fé e os usos do lugar de sua celebração.
§ 1º A interpretação do negócio jurídico deve lhe atribuir o sentido que:
I – for confirmado pelo comportamento das partes posterior à celebração do negócio;
II – corresponder aos usos, costumes e práticas do mercado relativas ao tipo de negócio;
III – corresponder à boa-fé;
IV – for mais benéfico à parte que não redigiu o dispositivo, se identificável; e
V – corresponder a qual seria a razoável negociação das partes sobre a questão discutida, inferida das demais disposições do negócio e da racionalidade econômica das partes, consideradas as informações disponíveis no momento de sua celebração.
§ 2º As partes poderão livremente pactuar regras de interpretação, de preenchimento de lacunas e de integração dos negócios jurídicos diversas daquelas previstas em lei."
"114","Art. 114 Os negócios jurídicos benéficos e a renúncia interpretam-se estritamente."
"115","Art. 115 Os poderes de representação conferem-se por lei ou pelo interessado."
"116","Art. 116 A manifestação de vontade pelo representante, nos limites de seus poderes, produz efeitos em relação ao representado."
"117","Art. 117 Salvo se o permitir a lei ou o representado, é anulável o negócio jurídico que o representante, no seu interesse ou por conta de outrem, celebrar consigo mesmo.
Parágrafo único. Para esse efeito, tem-se como celebrado pelo representante o negócio realizado por aquele em quem os poderes houverem sido subestabelecidos."
